,Tweet
52,New study: “Strong communication skills reliably predict leadership emergence in teams” BUT “Just because people are outgoing and talkative doesn’t mean they communicate effectively and inspire others to view them as leaders.” https://t.co/RZ0hwobgDa @UBuffalo @UBSchoolofMGT
53,"Join us Friday, February 25 for our virtual seminar, during which Dr. Bruno Badia (Rhodes College) will discuss how a firm's information impacts its decision to innovate!

More info and Zoom link: https://t.co/UNmnYE4T9G

#UBuffalo @UBCAS https://t.co/LBUixvlsDg"
54,"Wow #UBuffalo it’s already Wednesday, which means 1 thing: ITS A @UBwomenshoops GAMEDAY‼️

Grab your closest friends, some wings (which are free!) and let’s catch this W!💙🤘

@UBAthletics https://t.co/3aaS5SCNcY"
55,"Happy Birthday Dr. Shubert! If you see Dr. Shubert around or want to send him an email, he’s celebrating a big birthday today! #happybirthday #ubuffalo #celebrate https://t.co/OcMpErE8Ku"
56,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of Slavery: Disability, Race, and Gender in Antebellum America!
Prof. Barclay will be joined by Dr. Kim Nielsen to discuss her book. https://t.co/hWRgwnickl #UBuffalo https://t.co/rH7Jzw1ajm"
57,"Is Black history white-washed or censored? We hear from @UBuffalo's @DrLaGarrettKing and a high school student.

LISTEN LIVE at @kcur 📻89.3 FM +💻&amp;📱: https://t.co/WqiUHxXXX9"
58,"It's GAMEDAY!!! Come out and support Bulls as they look to clinch a spot in the MAC Tournament!

🆚 @OhioWBasketball
🕰 7:00 PM
📍 Alumni Arena
💻 https://t.co/jJ9SL7XVVE
📻 ESPN 1520AM
📊 https://t.co/iIll9xwrgc
📝 https://t.co/j0FMgSg6uc
🎟 https://t.co/kJaPdnPtxF 

#UBhornsUP https://t.co/isnBwFqJeJ"
59,"There's still time! Register for today's episode of the @DiscoverEorg #PersistSeries featuring Julianna Gesun of @UofNH with Q&amp;A panelists Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConn.

https://t.co/bz3vBoRwax https://t.co/cGyr9eIb6X"
60,@ChamarLatanja @CprepHarlem @_HamptonU @sunyoswego @BowieState @TuskegeeUniv @ualbany @BinghamtonSOM @UBuffalo @XULA1925 @Morehouse @RITtigers Thank you for the great recommendation! We are glad that you and your daughter enjoy being a part of the Hawk family.
61,"@UMESNews @ChamarLatanja @CprepHarlem @_HamptonU @sunyoswego @TuskegeeUniv @ualbany @BinghamtonSOM @UBuffalo @XULA1925 @Morehouse @RITtigers This is amazing! Congrats Dante, we’re glad you’ve considered Bowie State. We’d be happy to welcome you to #BulldogNation. 🎓"
62,"Behind the Front, an exhibition on advocacy for #womeninsports by @BuffaloArchPlan alum @_thedailysass (an architectural designer AND pro-goalie) is on view at CEPA Gallery until Feb 26- check it out! https://t.co/tcIYt3IBkW #UBuffalo @UBGenderIn #genderequity @IfThenSheCan"
63,"Attention #UBuffalo alumni! Join us for our Spring 2022 Buffalo Chat Series, which will include comments from our new dean on his vision for the school and discussion of current and future strengths within our academic programs. Register now at https://t.co/YGdbs1j3qB. https://t.co/CR6tv6Mboh"
64,"Light therapy may accelerate the healing of skin damage from radiation therapy by up to 50%, according to a recent @UBuffalo-led study.

Learn more ➡️ https://t.co/VkEkJIobZ3 https://t.co/hMxohHKWUI"
65,"Let's BLUE it #UBuffalo! 🤘💙 Help us blue out Alumni Arena next Tuesday, 3/1! 🏀 Free t-shirts, prizes and FUN for everyone! Come and showcase that #UBTrueBlue spirit! 👏 

⏰: 7:00 pm 
📍: Alumni Arena
🆚: Toledo
Learn more about True Blue ➡️ https://t.co/HJAhJEuXRe https://t.co/WDbRg9Eujt"
66,"Welcome @StrayosAI Spring 2022 #Interns! We're pleased to introduce Ashwin Phadke...

Working for an MS in CS from the @UBuffalo, exploring #AI &amp; #ML applications with us. 

We can't wait to see what we accomplish together!

@UBengineering #internships2022 #intern2022 #UBuffalo https://t.co/7bzYZQrPvJ"
67,"The #Eweek2022 episode of the #PersistSeries features Dr. Julianna Gesun of @UofNH. She'll be joined by Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConn during the live Q&amp;A! 

Register for today! https://t.co/xPkvvkFZS7 https://t.co/U2ZkmhSU6l"
68,"Join us NOW for a live Q&amp;A with Julianna Gesun of 
@UofNH, Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, Dr. Stephany Santos of @UConnEngineer  &amp; moderator Carol Smith of 
@ULdialogue. Join us! https://t.co/xPkvvkop0z #PersistSeries #Eweek2022 https://t.co/XSpFpgJzOI"
69,"Starting in 10 min! Celebrate #Eweek2022 &amp; join us for the #PersistSeries featuring Julianna Gesun of @UofNH with Q&amp;A panelists Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConnEngineer Register! https://t.co/xPkvvkop0z https://t.co/ZOnY0YNJzp"
70,#Eweek2022 starts today at #UBuffalo! ⚙️ Drop by the Student Union for fun and interactive activities all day like the Egg Drop! Check out the full schedule here ▶️ https://t.co/cScOiw6hv8 https://t.co/NWyXc8TTkY
71,"Mitchell Watt (2012 PIT, Buffalo) recorded a double-double of 16 points (7-11 FG) and 11 rebounds to lead Venezia (Italy) to an 81-76 win over Napoli. The veteran center is averaging 15.7 ppg and shooting 56% from the field this season. @UBmenshoops @UBuffalo"
72,"Cameron Priest is a chemical #engineering intern from @UBuffalo. He's helping change the world through engineering by studying electrochemistry for #cleanEnergy applications @INL.

Check out our high school &amp; college internships: https://t.co/nmqgHDHd9g

#EngineersWeek #research https://t.co/8kBbsLt64O"
73,".@UBuffalo School of Dental Medicine is accepting applications for the Destination Dental School program, an initiative that aims to remove barriers to careers in dentistry for underrepresented and disadvantaged students.  https://t.co/P515mw4gfI"
