,Tweet,Hashtag
195,"This Friday! #UBuffalo's @UBGSE and @UBSchoolofLaw will host a virtual panel: ""Critical Race Theory: Clarifying the Conversation.""

Attendees will gain a deeper understanding of #CRT's meaning and history. Learn more: https://t.co/GYFKyaNTsW.

#UBGSE https://t.co/N8TlYtpPJo",ubuffalo crt ubgse
196,"The 5th annual Teaching Black History Conference will be July 22-24, and this year's theme is Mother Africa. Submit your proposal!

#UBGSE #UBuffalo @DrLaGarrettKing 

https://t.co/hvzMwJDMJc",ubgse ubuffalo
197,"Nerd out this Saturday! This week at #UBGSE's Black History Nerds Saturday School: ""The Hill Project: A Black Studies Curriculum"" with Dr. Gholdy Muhammad from University of Illinois at Chicago.

Register: https://t.co/CEp7o638Xf

#BlackHistoryMonth #UBuffalo @DrLaGarrettKing https://t.co/HhKVAYAJnZ",ubgse blackhistorymonth ubuffalo
198,"Today at 2:30 p.m. EST: #UBuffalo's @UBGSE and @UBSchoolofLaw are hosting a virtual panel, ""Critical Race Theory: Clarifying the Conversation.""

Learn more: https://t.co/GYFKyaNTsW.

#UBGSE https://t.co/L2c6GxNYPR",ubuffalo ubgse
199,Very proud of #UBuffalo engineering alum Marcus Yam: https://t.co/3ky1keVGKf,ubuffalo
200,"@UBengineering students stepped up to the annual ""Egg Drop"" challenge today to help kick-off Engineering Week. That third floor was a loooong way down for some of these contenders. Check out upcoming events: https://t.co/D5K8tOFXGC
#UBuffalo https://t.co/bhQ7PLpjer",ubuffalo
201,@MACSports @UBCoachJack @UBwomenshoops @UBAthletics 🤘🏽🤘🏼🤘🏾,
202,"Congrats to @DyaishaFair on being named @MACSports Player of the Week! 🤘🏻

STORY: https://t.co/LwpBZyUip7

#UBhornsUP https://t.co/bP6KnZmDCb",ubhornsup
203,"WHAT A GAME TONIGHT WAS!! 

HUGE S/O @UBwomenshoops for keeping us on our toes all game and still making it out on top!! 

#GoBulls #UBuffalo 🤘💙🤘 https://t.co/MdgbVaAKhh",gobulls ubuffalo
204,WEAR YOUR BLUE AND BRING THAT PRIDE 💙💙💙💙 https://t.co/4F4uFZcG2p,
205,"With tonight's victory the Bulls are officially.....CLEVELAND BOUND!

#UBhornsUP https://t.co/Cs7WSE537D",ubhornsup
206,"Annelise Gunn-Taylor, #UBuffalo Accelerated Baccalaureate Degree in Nursing student, recognizes the nursing faculty, instructors and peers that make her program great and her experience worth the hard work. #UBTrueBlue

https://t.co/YUp2eDcQ0E",ubuffalo ubtrueblue
207,"Questions about the CRNA admissions process? Join us March 10 to learn about admission requirements, the application timeline and common misconceptions about the application process. #UBuffalo

https://t.co/Bkh00voQUp https://t.co/POm0Ft1q8a",ubuffalo
208,#UBuffalo SON community: We invite you to wear your #UBTrueBlue every Friday with the rest of the #UBuffalo campus community! Post a picture and make sure to tag us. 🧢 🤘 https://t.co/DNpwIyxxEs,ubuffalo ubtrueblue ubuffalo
209,Dean Marsha Lewis is #UBTrueBlue! Are you? Share a picture of your #UBuffalo True Blue pride and be sure to tag us! 💙🤘 https://t.co/0ODWPd16hT,ubtrueblue ubuffalo
210,"The University at Buffalo School of Nursing is hiring a simulation coordinator to manage, assess and evaluate daily simulation activities. #UBuffalo

Learn more and apply: https://t.co/4zrBS8aEq4",ubuffalo
211,"ON TO CLEVELAND! 

With tonight’s win, the Bulls have officially clinched a spot in the @MACSports Tournament! 🤘🏻

#UBhornsUP https://t.co/aHvWAS17Pw",ubhornsup
212,"#UBuffalo students take note! 📝 Navigate will be unavailable tonight from 9 - 10 p.m. for planned maintenance. 

Navigate is used to book appointments across campus, set reminders, locate campus resources and more. https://t.co/cm0kvrfmKK @UBStudentExp",ubuffalo
213,UB Alert: please ignore this planned test of our systems. https://t.co/xOoylvdiO9  #UBAlert #UBuffalo,ubalert ubuffalo
214,"🤘 2022 Schedule 🤘

🔗 https://t.co/l2c1wGYo9c

#UBhornsUP https://t.co/pjzk5AfLSy",ubhornsup
215,The bots are battling it out in the SU TODAY! 🤖Don’t miss the annual marquee event of #EWeek2022. The final round of battles starts at 1:30pm! #EngineersWeek https://t.co/hHui6gn2gl,eweek2022 engineersweek
216,"Learn to budget, save, invest, and more with a group of supportive peers &amp; mentors, in a non-judgemental space.

Commit to all 3 UB Money Wise: Group Support Sessions of the series and register before 2/26 ⬇️ https://t.co/z19bZ3N4be #UBuffalo",ubuffalo
217,"Tell us what you think. Your health matters. 

Check your email for an invitation to the National College Health Assessment survey between Feb 21-March 11. Complete the survey, receive Campus Cash, and be entered to win prizes. #UBuffalo https://t.co/ivl0uwb4gb",ubuffalo
218,"Happy #Twosday 2 you, #UBuffalo! Did you know:
🔹 Every date until the end of the month is a palindrome (2-20-22 to 2-28-22)
🔹 The ultimate time today is NOT 2:22am or 2:22pm, but 10:22pm which is 22:22 in military time!
🔹 The next Twosday won't come again until 2/22/2422 ☹️ https://t.co/bKeKurDb2G",twosday ubuffalo
219,"In the mood for shopping this weekend? 🛍 Join UB Trippin' to the Fashion Outlets of Niagara Falls this Saturday, 2/26. 

It's free to all #UBuffalo students, but make sure to RSVP on UBLinked to secure your spot! https://t.co/VFUyNTXOR2 #Sponsored https://t.co/YW60FMJlUE",ubuffalo sponsored
220,"UBThisSummer registration opens March 1. Undergraduate and graduate courses are available to help you get ahead or stay on track! 

Visit https://t.co/4jNNc4IMk9 for more information. #UBuffalo https://t.co/ptLkt8dvLm",ubuffalo
221,"Choose Campus Living! Submit your deposit &amp; application to secure your place in #UBuffalo on-campus housing:
🔹 Returning students, apply before March 2 to be eligible for the 1st round of self-selection
🔹 New students, you have until May 10 to apply

https://t.co/m7aBhRgey3",ubuffalo
222,"Spot the blue and white tricycle TOMORROW in the SU from 11a – 1p to get your tasty treat and get a taste of living and working in New York City. #UBuffalo

Check out the whole Live + Work pop-up schedule 🔗 https://t.co/wpVB8yjMnj https://t.co/xbZrH0qxyY",ubuffalo
223,"Earth to student leaders 👩🏽‍🚀  Develop your leadership skills 'til they're out of this world! 

Take off and join Leadership Training Camp on Wednesday, March 9th! Free food too! 😋 https://t.co/QlBTJ9Nr7h #UBuffalo https://t.co/EL26XZypE0",ubuffalo
224,"Take charge of your well-being! Subscribe to the ""What the Health"" newsletter and get info on all the health and wellness-related programs and events going on at #UBuffalo. 📰 It's published 7-8 times a year when you need it most. https://t.co/zBN8Xn79ch https://t.co/VxuNRjOmeb",ubuffalo
225,"Light therapy may accelerate the healing of skin damage from radiation therapy by up to 50%, according to a recent @UBuffalo-led study. https://t.co/VkEkJIobZ3",
226,"18th Annual Safe Schools Initiative Seminar ""Averting Targeted School Violence: A U.S. Secret Service Analysis of Plots Against Schools"" Wed., March 23, 8:45am–Noon EST/free event/more info &amp; registration: https://t.co/lYQsrhhyhe @UBuffalo @UBGSE @NYSED @nyspolice #schoolviolence https://t.co/P3bhuS6eoB",schoolviolence
227,"Fighting … to resolve conflict? 🥊 A new book by #UBGSE alumna Brittany Patterson, PhD ’15, outlines the essential skills young people need when navigating difficult situations. Learn more. ⬇️

https://t.co/6ZP4VyRxwc

#UBuffalo https://t.co/Hw6dpINhq1",ubgse ubuffalo
228,"#UBuffalo’s CRT panel discussion, hosted by @UBGSE and @UBSchoolofLaw, will take place on Feb. 25. @GorlewskiJulie will moderate the event, and #UBGSE faculty @DrLaGarrettKing and @GwenSBaxley will contribute to the conversation. 

Learn more and register: https://t.co/89hPr8hCLn https://t.co/j177t305yB",ubuffalo ubgse
229,"Today at 2:30 p.m. - #UBuffalo’s @UBGSE and @UBSchoolofLaw will host a virtual #CRT panel. @GorlewskiJulie will moderate the event, and #UBGSE faculty @DrLaGarrettKing and @GwenSBaxley will contribute to the conversation. 

Learn more and register: https://t.co/89hPr8hCLn",ubuffalo crt ubgse
230,"This Friday! #UBuffalo's @UBGSE and @UBSchoolofLaw will host a virtual panel: ""Critical Race Theory: Clarifying the Conversation.""

Attendees will gain a deeper understanding of #CRT's meaning and history. Learn more: https://t.co/6ZP4VyRxwc.

#UBGSE https://t.co/Vtrp3xVbu7",ubuffalo crt ubgse
231,"Today: #UBuffalo's @UBGSE and @UBSchoolofLaw are hosting a virtual panel, ""Critical Race Theory: Clarifying the Conversation.""

Learn more: https://t.co/6ZP4VyRxwc.

#UBGSE https://t.co/bcoQXAWs2u",ubuffalo ubgse
232,"Have you joined #UBGSE for Black History Nerds Saturday School yet? This week, attend The Hill Project: A Black Studies Curriculum with Dr. Gholdy Muhammad from University of Illinois at Chicago.

Register: https://t.co/tXJykoepLo

#BlackHistoryMonth #UBuffalo @DrLaGarrettKing https://t.co/31XncAzmyH",ubgse blackhistorymonth ubuffalo
233,Nominations now open! Nominate UB-owned and led companies for the Fast 46 awards. Check the link and watch this space for more info! #UBuffalo https://t.co/1XxzPtDllQ,ubuffalo
234,"#UBuffalo doctoral student Adetola Salau will take over #UBGSE's Instagram stories tomorrow! She is not only a student but also the senior special assistant on education to the executive governor of Lagos State, Nigeria. 

Follow along with Adetola! IG handle: UBGSE. https://t.co/PQxS1Mqs9I",ubuffalo ubgse
235,"Are you a working professional looking for help with the graduate application process? ✋ Attend #UBGSE's ""Just Explain it to Me: Resources and Tips for Working Professionals Applying to Grad School"" event tomorrow!

Learn more and register: https://t.co/SwT9bt3gjw.  

#UBuffalo",ubgse ubuffalo
236,"Hi everyone! My name is Adetola Salau and I am a social innovator and educator. I'm enrolled in the curriculum, instruction and the science of learning doctoral program at #UBuffalo. Follow along with me today as I take over #UBGSE's Instagram stories. (IG handle: UBGSE) https://t.co/iFmVAP0Zv1",ubuffalo ubgse
237,"Some say Baird Point is the most beautiful in the summer, but winter views make us feel otherwise. 💙 ❄️

#UBGSE #UBuffalo #Buffalo https://t.co/6ikppAUcPu",ubgse ubuffalo buffalo
238,"#UBuffalo's indoor mask requirements remain in effect (including on buses and shuttles). Decisions about whether to relax mask requirements at UB will be made in collaboration with SUNY and Erie County Department of Health. 

More info ⬇️ https://t.co/jKZnQu2R7u",ubuffalo
239,"""Isolating with others is generally felt to be OK, as long as you're both already infected."" 😷 A #UBuffalo professor helps address the gray area of cohabitation with #COVID19 in @healthmagazine. https://t.co/yrGxlFwDpY",ubuffalo covid19
240,Double trouble! 🤘🤘 Both #UBuffalo basketball teams are ready for some #MACtion! #ClevelandIsTheReason https://t.co/bY9LhaO72X,ubuffalo maction clevelandisthereason
241,Still on the fence about booster shots? 💉 A #UBuffalo infectious disease expert helps address some of the questions and misconceptions about #COVID19 boosters 🔽 https://t.co/uEoWodaxIh,ubuffalo covid19
242,See what microcredentials are available at #UBuffalo! ➡️https://t.co/GXu2yM9C6A https://t.co/bgpvZQHT6c,ubuffalo
243,"Bruce Korf, MD, PhD, #GenomicMedicine expert at the University of Alabama at Birmingham (@UABNews), speaks today at the #UBuffalo Cancer Research Consortium Seminar Series. @brkorf will talk about diagnosing &amp; treating #neurofibromatosis. Join us at 3:00: https://t.co/1mKEV25Vlc https://t.co/A0jBdopL11",genomicmedicine ubuffalo neurofibromatosis
244,"Are you proud to be a part of our innovative @Jacobs_Med_UB community here at #UBuffalo? Show your #UBTrueBlue spirit! Put your horns up 🤘 in the comments, don your UB gear, fly a UB flag, and wear UB blue on Fridays 💙! Learn more about True Blue: https://t.co/2WGM2zJZX5 https://t.co/9wE2qF0hLZ",ubuffalo ubtrueblue
245,#ThrowbackThursday: Exactly one month ago 57 original research projects from aspiring physician-scientists at #UBuffalo were on display at the Medical Student Research Forum! For more event photos — and to see all participants and the awardees — check out: https://t.co/hXHxxfAovE https://t.co/tLVTlvZ5gZ,throwbackthursday ubuffalo
246,"Dr. Bruce Korf, #GenomicMedicine expert at the University of Alabama at Birmingham speaks at 3 p.m. today at the #UBuffalo Cancer Research Consortium Seminar Series. He will talk about #neurofibromatosis. Join in at https://t.co/z9OLdTNDWn",genomicmedicine ubuffalo neurofibromatosis
247,So honored to be representing Buffalo IPE Leadership team at the #NAPForum2022 in San Diego to receive our IPE Group Recognition award! #UBuffalo #UBSPHHP #IPE  @GO_NYSATA @NATA1950 https://t.co/rnBBMjpAr7,napforum2022 ubuffalo ubsphhp ipe
248,"Nursing PhD student Mary Rose Gaughan was published in the February 2022 issue of @CIN_online for her insight into the factors identified as benefits and drawbacks of technology use by nurses. #UBuffalo

https://t.co/htzEZ8GtTG",ubuffalo
249,"Love seeing our #UBalumni give back. It's one of the many things that keeps me putting my #UBhornsUP! 💙🤘
#UBuffalo
#WomenInSTEM https://t.co/etwx4rK40D",ubalumni ubhornsup ubuffalo womeninstem
250,This #UBuffalo rebel grad is breaking barriers and helping other women in STEM do it too. Watch her story now 👇 https://t.co/uv7374M3kW,ubuffalo
251,"Congratulations to #UBuffalo Professor Steve McCaffery! 55 years in the making, 𝘊𝘢𝘳𝘯𝘪𝘷𝘢𝘭: 𝘛𝘩𝘦 𝘊𝘰𝘮𝘱𝘭𝘦𝘵𝘦 𝘌𝘥𝘪𝘵𝘪𝘰𝘯 1967-2022 has just been published by Veer Books in the UK: https://t.co/Pn83h51u6i https://t.co/Ke8k5ed5lG",ubuffalo
252,Join us 3/8 for our next webinar “Speaking with the Dead in Early America” presented by #UBuffalo professor and author Erik R. Seeman. For more info &amp; to reg: https://t.co/j4DujwqNg9 #Webinar #Spiritualism #FoxSisters #AmericanHistory #CulturalHistory #BookDiscussion https://t.co/9PBP1ghhn1,ubuffalo webinar spiritualism foxsisters americanhistory culturalhistory bookdiscussion
253,"This week we will be consulting on a local business, Rob's Comedy Playhouse. We will be discussing ways to increase their social presence and expand their customer base. This will be great experience to discuss when interviewing and looks great on a resume!
#marketing #ubuffalo https://t.co/RfnQZg7lfz",marketing ubuffalo
254,"📣Check out this upcoming event w/ @UBGenderIn! Join us on Tue, March 8 @ 12PM for a book launch event New Books, New Feminist Directions. Prof. @VWidgeon will discuss her book &amp; @uofl Prof. Tracy E. K'Meyer will offer commentary.
Register Here: https://t.co/fOap8XVSuc #UBuffalo",ubuffalo
255,Get on your #UBuffalo gear and join us at a watch party for the @UBmenshoops and @UBwomenshoops teams heading to the MAC tournament! #UBhornsUP https://t.co/a6qC5HHM1G https://t.co/liwphK5jZU,ubuffalo ubhornsup
256,Time is running out... Just under two weeks left to nominate a #UBuffalo grad with a fast-growing business for the Fast 46 competition! https://t.co/lBPoCCIqvE,ubuffalo
257,A pretty special day on the #UBuffalo campus today--first time we've been able to see smiling student faces  since two years ago with masks become optional.  Nice work @UBuffalo you've all done an amazing job fighting this pandemic and thinking about the greater good!,ubuffalo
258,"📣 Join us and @UBGenderIn today, March 8 @ 12PM for a book launch event New Books, New Feminist Directions. Prof. @VWidgeon will discuss her book &amp; @uofl Prof. Tracy E. K'Meyer will offer commentary.
Register Here: https://t.co/fOap8XVSuc #UBuffalo",ubuffalo
259,"At #UBMgt, we celebrate women’s achievements every day. We are proud to recognize our students, faculty and staff’s success. Learn more about the achievements earned by women in the UB MBA program: 

https://t.co/S108xXDVuu 
 
#WomensDay #UBuffalo #WomeninBusiness https://t.co/sQJ4UKXC2z",ubmgt womensday ubuffalo womeninbusiness
260,"Interested in UB’s PMBA program?
Chat with a current student: https://t.co/ITaGBOOacd

#UBMgt #UBuffalo #gradschool https://t.co/4aMB0mgtUZ",ubmgt ubuffalo gradschool
261,"At #UBMgt, we celebrate women’s achievements every day. We are proud to recognize our students, faculty and staff’s success. Learn more about the achievements earned by women in the UB MBA program: 

https://t.co/icVKFcofTi 
 
#WomensDay #UBuffalo #WomeninBusiness https://t.co/sSAlQ1SL8W",ubmgt womensday ubuffalo womeninbusiness
262,"On #InternationalWomensDay, we celebrate the powerful women of #UBuffalo, past and present 💪🏾 including these prominent figures in our city's history 👇 https://t.co/dJJsE82uXI",internationalwomensday ubuffalo
263,"Congratulations to Dr. Margarita L. Dubocovich from the State University of New York at Buffalo, winner of the 2022 Julius Axelrod Award in Pharmacology.  

#UBuffalo, @Jacobs_Med_UB #pharmacology, #ASPET22, #expbio https://t.co/GX7FBoRSUq",ubuffalo pharmacology aspet22 expbio
264,"On this #InternationalWomensDay, we’re proud to highlight these outstanding #UBMgt alumnae. They're just a few of the amazing women who have graduated from the UB School of Management over the years.

#UBuffalo #UBMgt https://t.co/4s28ziJBS6",internationalwomensday ubmgt ubuffalo ubmgt
265,"Eating well can do a LOT to help you feel your best 🥗💵 Two upcoming virtual workshops for all #UBuffalo students can help you learn to make peace with food and plan meals ahead to save money:  https://t.co/uD5NNcltGa
📆 Intuitive Eating on 3/9
📆 Meal Planning 3/16 https://t.co/ExualQMW4l",ubuffalo
266,"Introducing: “Buster, the Buffalo Bull” 

➡️ This 1954 version of Buster was designed by Stuart Hample, a 1949 #UBuffalo graduate. #UBTrueBlue https://t.co/REOR2a3QZB",ubuffalo ubtrueblue
267,"Happy #InternationalWomensDay!  Learn about women's issues in health care with Buffalo HealthCast. ♀️

Abortion Access: 
https://t.co/bl0s2PZLCg

Breast Cancer Disparities: 
https://t.co/2WqIZzDuDk

#UBuffalo #UBPublicHealth #HealthEquity #PublicHealth https://t.co/AyZbrqwbmZ",internationalwomensday ubuffalo ubpublichealth healthequity publichealth
268,"Learn from @PPFA and @UBSchoolofLaw about abortion access in the United States to celebrate #WomensHistoryMonth

Visit: 
https://t.co/bl0s2PIaKI

#UBuffalo #PublicHealth #HealthEquity #UBPublicHealth #AbortionIsHealthCare https://t.co/SYr2ebCzsj",womenshistorymonth ubuffalo publichealth healthequity ubpublichealth abortionishealthcare
269,#UBuffalo PhD candidates #Schomburg @UBScience @UBGSE https://t.co/gmX388jjzv,ubuffalo schomburg
270,"DYK? If COVID-19 has affected your finances, you could be eligible for a federal aid adjustment. Request a professional judgment review through #UBuffalo's Financial Aid Office. The COVID-19 support team is here to help! Learn more about this process ▶️ https://t.co/sSLcFO6Agn https://t.co/U2lnSzqkIY",ubuffalo
271,"One week away! Join #UBGSE for ""The Reality of Researching Race in Your Dissertation: Strategies for Success and Keeping Your Sanity,"" with @RamonGoings.

Learn more and register: https://t.co/Rmnd4Shprw.

#UBuffalo https://t.co/J0oWgbsEKl",ubgse ubuffalo
272,"Coming together to stop school violence: The Annual Safe Schools Initiative Seminar at #UBuffalo will allow education professionals to discuss approaches to averting school violence. #UBGSE's @UB_BullyPrevCtr is a founding sponsor of the event. 🏫

More: https://t.co/6ZP4VyRxwc.",ubuffalo ubgse
273,"UB WiSE and UB STEMinism co-hosted a Picture Yourself in STEM photo booth on March 8th to empower women in STEM. It was fun too! #ubSTEMinism, #ubwise, #ubseas, #ubengineering, #UBuffalo, #ubcas, #ubwisc https://t.co/gWJIVQrTkV",ubsteminism ubwise ubseas ubengineering ubuffalo ubcas ubwisc
274,"In keeping with state and federal regulations, masks will continue to be mandatory for everyone aboard #UBuffalo Stampede and shuttles😷🚌",ubuffalo
275,Sign Up! Seats Available on the Spring Break Express Bus Home https://t.co/GAnjQAedhR #ubuffalo,ubuffalo
276,"#UBClassOf2022 grads - this Friday 3/11 is the last day to order your caps and gowns online 👩🏽‍🎓 Don't wait til the last minute, since in-store stock is not guaranteed 🎓 Order here now: https://t.co/WR6Cfo1hxR #UBuffalo https://t.co/QkJmgKXjqc",ubclassof2022 ubuffalo
277,UB Alert: This is a test. Please sign up to receive alerts at https://t.co/xOoylvdiO9. #UBuffalo #UBAlert,ubuffalo ubalert
278,"“Odyssey: Warriors Come Home:"" A collective story of coming home from battle https://t.co/dIobK6c3Bk &lt;Photos part of a #research project on use of the humanities for U.S. #MilitaryVets to think more deeply about issues raised by war, military service. #UBuffalo  #Storytelling",research militaryvets ubuffalo storytelling
279,"Let's GOOO! 🎮🎧🤩 The LevelUp Esports arena and console lounge in Lockwood are opening this month!

Take your gaming to the next level with PCs and consoles preloaded with an epic library of games available to all #UBuffalo students! 🤘 https://t.co/AOMdXwz3L7",ubuffalo
280,Let the #MACtion Begin! 🎶🏀 #UBuffalo #UBTrueBlue #UBHornsUp https://t.co/KFkhzK59lq,maction ubuffalo ubtrueblue ubhornsup
281,"Do you know a #UBuffalo grad who owns a thriving, fast-growing business? Nominate them for Fast46 today! https://t.co/KxlliGxRWI https://t.co/Q99VcFZ1kI",ubuffalo
282,"Students in the WNY Youth Alliance for Education (YAE) speak up! 👏 @TheBuffaloNews published a letter from YAE, calling on others to voice their thoughts on education. Founded by #UBGSE, YAE helps students develop policy recommendations.

More: https://t.co/G7ipnB3O9O

#UBuffalo",ubgse ubuffalo
283,"TODAY! 
📣Check out this upcoming event with @BuffaloHistory at 6 PM on March 9! Prof. @CaroleEmberton will discuss her new book, To Walk About in Freedom at the Buffalo History Museum. More info: https://t.co/JG3SUgcPwc #UBuffalo",ubuffalo
284,"Congrats to the @Jacobs_Med_UB &amp; #UBuffalo honorees on the @BfloBizFirst Power 250 list — a roster of the region’s 250 most influential people. The Jacobs School is well represented on this list; we have strong faculty. Further, I’m honored to be included on the list. #UBTrueBlue https://t.co/83th5VlSgR",ubuffalo ubtrueblue
285,"Professor Brenda Moore speaks with @NPR about the 855 Black women who became the first and only all-female Black U.S. Army Corps unit to serve overseas during World War II. This year, Congress awarded the group the Congressional Gold Medal. #UBuffalo  https://t.co/L1XG71WFJU",ubuffalo
286,"#UBuffalo basketball has been around for over 100 years. Anything is possible! 🏀🦬 #ClevelandIsTheReason #UBhornsUP 

➡️ https://t.co/jyhvlfuNZ4 https://t.co/2uOxGXfdtv",ubuffalo clevelandisthereason ubhornsup
287,"Tomorrow at 4pm, @Mical_Raz from @urhistorydept will be speaking on the origins of the child welfare system and how abusive practices came to be so entrenched in the system. Register now to attend via Zoom or in person: #UBuffalo https://t.co/8r5yeTAF5o",ubuffalo
288,Join us tomorrow at 12:30pm as we welcome @Anna_Lvovsky from @Harvard_Law  as she discusses police professionalism and its inability to mitigate police misconduct. Stop by 509 O’Brian Hall or register now via Zoom: #UBuffalo https://t.co/ZSm5k4s9hf,ubuffalo
289,"Join us in person or online on March 11th at 3 PM for a New Book 🎉Celebration 🎉 in honor of Prof. @dhbuffalo and his new book, White Market Drugs! More info and registration: https://t.co/hWRgwnzNbT #UBuffalo https://t.co/v9KBbMwKpu",ubuffalo
290,"Attitudes Around #Disability, with Dr. Sue Mann Dolce, the Associate Director of Accessibility Resources here at @UBuffalo comes out on St. Patrick's Day next week. Mark your calendars!

#Accessibility #PublicHealth #HealthEquity #UBPublicHealth #UBuffalo https://t.co/INNAdC2UVp",disability accessibility publichealth healthequity ubpublichealth ubuffalo
291,"Three #UBuffalo engineering students (8 total) receive @SUNY GREAT awards. Congrats Kyle Hunt, Dennis Fedorishin &amp; Liam Christie!!! https://t.co/SkRog9wZ27 https://t.co/DPu0VE7MQ5",ubuffalo
292,Dr. Joe Atkinson from @UBengineering discusses the “moving target” that is water quality management in Lake Ontario in our newest blog. Read now: #UBuffalo https://t.co/iHKaWVQTiC,ubuffalo
293,"Rebecca Brady, MWEE '18, is setting the stage: https://t.co/r6MWICbQS6

#UBMgt #UBuffalo #UBTrueBlue https://t.co/4XsgRnfrIY",ubmgt ubuffalo ubtrueblue
294,"The most detailed Buffalo-Akron preview in the land... Like if you are taking Buffalo, retweet if you are taking Akron. #UBuffalo #Picks #GamblingTwitter https://t.co/sMoN2HkKYB",ubuffalo picks gamblingtwitter
295,It is GAMEDAY and we have a FREE preview of the Buffalo-Akron game happening today.  Click or tap now!  #UBuffalo #Picks https://t.co/sMoN2HkKYB,ubuffalo picks
296,Medical education at @Jacobs_Med_UB is undergoing fundamental changes addressing structural racism in medicine in an effort initially inspired by our students. #UBuffalo https://t.co/XQ5SQzpsNk,ubuffalo
297,"As part of #WomensHistoryMonth, today we’re honoring Mary Blair Moody, MD, the first woman to earn a medical degree at #UBuffalo. Her motto? “The greatest good to the greatest number at the smallest cost to them.” 

Learn about her life and time at UB: https://t.co/uhpA3oEAtN https://t.co/uEp9wD0Jwr",womenshistorymonth ubuffalo
298,"Join us for one of our two virtual guest lectures this Thursday, during which Dr. Michael Koved (Advanced Analytics) will discuss best practices for successful presentations and data visualizations!

More info and Zoom link: https://t.co/2Ul2FnOsCp

#UBuffalo @UBCAS @ubalumni https://t.co/UybR9VADd5",ubuffalo
299,"Join us tomorrow (Friday) for our virtual seminar, during which Dr. Philipp Kircher (Cornell) will discuss the impacts of lockdowns and social distancing based on age!

More info and Zoom link: https://t.co/PoQLT5jkyM

#UBuffalo @UBCAS https://t.co/06iB2WjwlS",ubuffalo
300,#UBuffalo @UB_English PhD student and @SAADAonline fellow Sharmeen Mehri has written a moving essay about her father and #Zoroastrian identities in South Asia and North America. https://t.co/WcQRc7txr8,ubuffalo zoroastrian
301,"Please join us on April 7 for the annual Alison Des Forges Symposium, “Today’s Socialism and Human Rights.” The symposium will be a hybrid event. Registration is free and more info on the symposium and registration can be found here: https://t.co/9s3gz2vdAk. #UBuffalo https://t.co/XfvTdnvwrF",ubuffalo
302,Don't go out to feed the meter. Use @Parkmobile instead and never have to carry change or get cold. Get the free app now! https://t.co/fbdhhZ1aJW #ubuffalo,ubuffalo
303,@ubalumni @bigditchbrewing Love this. Matt is a great guy and a fantastic #UBuffalo grad!,ubuffalo
304,"On March 5, #UBuffalo made masks optional in most settings. Many people have shown a commitment to #COVID19 safety. To continue this forward momentum, I urge everyone to get vaccinated / boosted &amp; upload that information ASAP. Get all the info at https://t.co/IoLDI0Zbsn https://t.co/DOToSZ2EnM",ubuffalo covid19
305,"Today, on #InternationalWomensDay, we’ve been celebrating the many achievements of our unstoppable @Jacobs_Med_UB trainees, graduates, staff, faculty members, mentors and leaders! Trailblazing women at #UBuffalo have shaped history and advanced medicine and science! https://t.co/nWaOT6bS8L",internationalwomensday ubuffalo
306,"Did you see the latest #UBuffalo CTSI Translational Spotlight newsletter? It featured: 

🔹CTSI Annual Forum preview: Interview w/ keynote speaker @PM_Alberti
🔹#COVID19 immunity over time
🔹CTSI Health Inequities Workshop Series begins Mar. 10

Read now: https://t.co/dQ48Pk2fYN https://t.co/Qj1qkkhFQg",ubuffalo covid19
307,"""Hari cherished his role as a researcher, professor and scientist, and he will be deeply missed by his department, our school and our university."" The #UBuffalo community's thoughts are with professor Srihari's family at this time. @UBengineering https://t.co/3bah3R89j5",ubuffalo
308,"George Stege, MBA '86, leading the charge at @FordGumInc!  https://t.co/6oi8Bxg15K

#UBMgt #UBuffalo https://t.co/p7ScRfmiiJ",ubmgt ubuffalo
309,"Rising to the Challenge! 🏆 

Congratulations to the ‘Pencil Pushers’ for taking top honors in this year’s @PwC Challenge: https://t.co/lGCgrielfC

#UBMgt #UBuffalo #Accounting #Business #UBTrueBlue https://t.co/uvp9cWpmdu",ubmgt ubuffalo accounting business ubtrueblue
310,"Congratulations to #UBuffalo @UB_English Professor Miriam Thaggert, whose edited volume 𝘈𝘧𝘳𝘪𝘤𝘢𝘯 𝘈𝘮𝘦𝘳𝘪𝘤𝘢𝘯 𝘓𝘪𝘵𝘦𝘳𝘢𝘵𝘶𝘳𝘦 𝘪𝘯 𝘛𝘳𝘢𝘯𝘴𝘪𝘵𝘪𝘰𝘯, 1920–1930 is soon to be available from Cambridge University Press! https://t.co/J9dASf4edc https://t.co/g1lJPRtZKp",ubuffalo
311,"Professor Nicole Morris Johnson's essay ""On Opacity: Toni Morrison’s and Paule Marshall’s Narrative Vision Therapy"" has just been published in the journal 𝘔𝘌𝘓𝘜𝘚. Visit https://t.co/QZF3cCkNxW to learn more! #UBuffalo https://t.co/oT5Kta3gPm",ubuffalo
312,Sending all of our #UBTrueBlue spirit to everyone watching back home in Buffalo! 💙🤘#UBuffalo #UBHornsUp https://t.co/Ml1MdcTKIV,ubtrueblue ubuffalo ubhornsup
313,"#UBuffalo football from 1899 with head coach Bemus Pierce in the back row. 🏈🦬 

This photo was donated a couple of years ago.

➡️ https://t.co/k93mVRHxvZ https://t.co/n6bH9m43IK",ubuffalo
